,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,dataset_id,tissue_type,total_cells
0,6489,19306,27531,21577,9954,2779,482,71,7,3,0,0,0,0,0,0,0,0,0,0,cf85bc1516f68195c899e287a9cd678b,lymph_nodes,88199
1,2914,10504,24204,27196,17896,7368,2194,532,86,24,5,0,1,0,0,0,0,0,0,0,5c5ac37add144e8a9707d2cd7791e694,lymph_nodes,92924
2,1479,5672,12041,12556,7862,3213,966,233,47,10,1,0,0,0,0,0,0,0,0,0,077f7862f6306055899374c7807a30c3,lymph_nodes,44080
3,3296,8013,15152,16253,9961,3599,990,198,42,9,1,0,1,0,0,0,0,0,0,0,0dc91e6484430c2db25b6765dd6aa565,lymph_nodes,57515
4,4340,15300,32131,34795,22036,8820,2359,492,80,11,1,0,1,0,0,0,0,0,0,0,bdcaa8d710bfb837dc2982c1cc4f67c8,lymph_nodes,120366
5,1780,8240,22386,27665,19229,8475,2703,686,175,45,7,2,0,1,0,0,0,0,0,0,e69fb303e035192a0ee38a34e4b25024,lymph_nodes,91394
6,3481,16374,35197,35783,20608,7639,1982,409,77,17,5,0,0,0,0,0,0,0,0,0,97a405eff9cb4cf14481e5c436b00f47,lymph_nodes,121572
7,8140,20038,25271,17855,7585,2006,372,70,4,1,0,0,0,0,0,0,0,0,0,0,8ed33ab3d0bf77d7a955865c6949cb1c,lymph_nodes,81342
8,1702,6941,17317,20775,14232,6350,1986,520,136,23,8,1,0,0,0,0,0,0,0,0,e3aa11ba0218456e2cc9302f6b1d9d1c,lymph_nodes,69991
9,1413,5491,11647,12335,7632,3163,961,214,45,16,2,1,0,0,0,0,0,0,0,0,4852fecbbb3fe8fd8a4b897f26941dd9,lymph_nodes,42920
10,1702,5830,11081,11235,6817,2800,786,198,25,11,3,0,0,0,0,0,0,0,0,0,4df8eb42549d6954d0b98b18cb92d9b6,lymph_nodes,40488
11,3009,12152,26040,27016,16370,6053,1721,358,80,16,3,1,0,0,0,0,0,0,0,0,636f55adb5b346fc8f576c5b1ccbfc7d,lymph_nodes,92819
12,1160,5170,12482,14205,9428,3966,1306,306,61,12,2,1,0,0,0,0,0,0,0,0,a6ccc344f88a164766d1251053173009,lymph_nodes,48099
13,2514,6866,12494,12111,6770,2435,631,118,20,4,2,0,0,0,0,0,0,0,0,0,35ffbad7d81bcc0c3ebf298406e3e712,lymph_nodes,43965
14,2398,11473,31984,39637,26443,10202,2737,547,106,9,2,0,0,0,0,0,0,0,0,0,1c33472c68c4fb40f531b39bf6310f2d,lymph_nodes,125538
15,2633,15486,44138,54648,36445,13965,3587,756,138,21,4,0,0,0,0,0,0,0,0,0,c95d9373d698faf60a66ffdc27499fe1,lymph_nodes,171821
16,5252,15132,23676,20478,10458,3614,943,181,21,3,1,0,0,0,0,0,0,0,0,0,62cf328e12477c27a6e47f936eb7324e,lymph_nodes,79759
0,4192,17185,36595,37954,22536,8457,2087,387,61,7,3,0,0,0,0,0,0,0,0,0,d36df353338a4a450f2282c65218f16c,spleen,129464
1,4196,19247,36279,33540,16548,4916,969,150,14,1,0,0,0,0,0,0,0,0,0,0,3de2804ec3219228758dba8382d33423,spleen,115860
2,5775,26320,47843,41504,21727,7641,1926,421,72,13,5,1,0,0,0,0,0,0,0,0,e0ba24d0c4dab528e46aab3f67a1aae8,spleen,153248
3,1839,13465,40820,52245,36895,15460,4263,886,150,24,0,0,0,0,0,0,0,0,0,0,75edcda4f3ff5bef72383d5d082438c2,spleen,166047
4,2837,17349,42391,46338,26689,8659,1700,250,25,4,0,0,0,0,0,0,0,0,0,0,1393ff7729eff13cd2f4d5d58af96fdb,spleen,146242
5,3138,13482,29753,32523,19937,7413,1942,356,70,12,1,0,0,0,0,0,0,0,0,0,f0c58e670ceb445e6ab02c6a20c83aee,spleen,108627
6,14236,41054,52991,38068,18092,6046,1581,360,64,16,3,0,0,0,0,0,0,0,0,0,aedc30c204870180673b6ece299f2eb1,spleen,172511
7,2156,14549,36752,40631,25910,10298,2833,591,105,16,2,1,0,0,0,0,0,0,0,0,03043e079260d180099579045f16cd53,spleen,133844
8,13430,32046,37912,26211,11298,3325,712,116,13,2,0,0,0,0,0,0,0,0,0,0,2c3540e2b1040c06612698d80ecab56a,spleen,125065
9,6962,11569,19872,20691,12676,4692,1153,226,44,6,0,0,0,0,0,0,0,0,0,0,4c0479bd703d8be3c2834dd1b6773b4c,spleen,77891
10,3532,21064,49564,52168,30842,10872,2655,438,71,10,0,0,0,0,0,0,0,0,0,0,2b57ac6fea7aa96d26d2685a297a4e7a,spleen,171216
11,2543,16590,41493,46469,26728,8987,2073,332,45,4,0,0,0,0,0,0,0,0,0,0,d73a864f5ad6bdffdf148f43423e2a01,spleen,145264
12,3375,17631,39237,40231,22139,7596,1706,304,40,1,0,1,0,0,0,0,0,0,0,0,00d1a3623dac388773bc7780fcb42797,spleen,132261
0,12483,30008,35909,24116,9932,2802,572,96,13,2,0,0,0,0,0,0,0,0,0,0,65f12a80f54438ea3bf5c7200ecd70a3,thymus,115933
1,4092,15147,29299,28745,16618,6545,1792,481,110,26,5,0,0,0,1,0,0,0,0,0,053544cd63125fc25f6a71a8f444bafc,thymus,102861
2,2480,15744,40601,46669,29492,11849,3645,904,185,41,11,3,0,0,0,0,0,0,0,0,af721c3938f621be2222df891f2e2a37,thymus,151624
3,17121,35222,36381,21818,8228,2177,471,78,13,1,0,0,0,0,0,0,0,0,0,0,4514230f7473a496201a4e45c4ff9568,thymus,121510
4,6136,19307,35683,34871,19062,6584,1634,318,60,2,2,0,0,0,0,0,0,0,0,0,8dd0ef5cafa3541cf9f0661db64662b7,thymus,123659
5,3272,15869,39978,46821,30559,12137,3531,763,172,31,11,1,0,0,0,0,0,0,0,0,5dfaf57521ad6aa97aa64d8aba1f9d32,thymus,153145
6,3515,13179,28314,29946,18952,7912,2376,642,146,38,5,3,1,0,0,0,0,0,0,0,f86b9efc87074bf03cd53932d8f1e76f,thymus,105029
7,3360,8683,14584,13103,7128,2382,578,79,20,1,0,0,0,0,0,0,0,0,0,0,bec226690f40f11d0516487ba4ad289f,thymus,49918
0,6920,9637,9226,6835,3502,1252,363,86,22,4,0,0,0,0,0,0,0,0,0,0,1d76aa007c3237be32c14b3dcc0c902c,large_intestine,37847
1,3481,6101,6740,5954,4673,3332,1890,810,297,89,26,5,2,1,0,0,0,0,0,0,133119ed437057e346f195c40dba4017,large_intestine,33401
2,6952,9692,9214,6701,3482,1285,355,84,20,4,0,0,0,0,0,0,0,0,0,0,e744205427e60038a142bb7cef6dfe3e,large_intestine,37789
3,2275,3539,4487,3920,2275,921,299,78,19,3,1,1,0,0,0,0,0,0,0,0,9d8677a799797c76a8205988cd3888b2,large_intestine,17818
4,1450,2315,3964,5777,6662,5001,2874,1108,332,76,24,2,1,1,0,0,0,0,0,0,5ed3910ba1d3947b6d2ea3788af223b1,large_intestine,29587
5,4051,5229,3588,1709,634,184,54,10,1,2,0,0,0,0,0,0,0,0,0,0,3612aaf6926602e7d2d3ae7cdd7ab44d,large_intestine,15462
6,4565,7953,9542,7189,3549,1184,353,85,19,9,0,0,0,0,0,0,0,0,0,0,768b7adb649959b6a4e354867595032d,large_intestine,34448
7,1826,3117,4577,4088,2439,989,323,74,16,3,1,1,0,0,0,0,0,0,0,0,5044fc738f8352b2e527daec45e1572d,large_intestine,17454
8,4476,5130,5543,4901,2836,1213,343,86,20,6,2,0,0,0,0,0,0,0,0,0,d0e87cb51bd723c71d053746fd0955d3,large_intestine,24556
9,7006,6402,4906,3201,1395,424,98,17,4,0,0,0,0,0,0,0,0,0,0,0,63d000170e475af142f6e8673de5eb0f,large_intestine,23453
10,6512,9274,9322,6933,3584,1413,441,122,12,9,1,1,0,0,0,0,0,0,0,0,f4caf0e7ea613babe895f82485a8784b,large_intestine,37624
11,2206,3647,4541,3867,2274,928,303,72,15,4,0,0,0,0,0,0,0,0,0,0,f16f4add0fdec807862b5c422c09f3f3,large_intestine,17857
12,2363,3843,5227,6933,6820,5046,2670,1031,280,81,18,4,2,0,0,0,0,0,0,0,b22e6449e3de171fdfaefc4a7b5b2aed,large_intestine,34318
13,1373,1775,1789,2620,3679,3221,2092,869,284,75,21,0,0,0,0,0,0,0,0,0,e214a8d4074404ce95c55308381fe3e4,large_intestine,17798
14,5232,4655,3393,3286,3029,2097,1052,402,128,36,9,6,1,0,0,0,0,0,0,0,c1bf80acd22b81337bb062a48f1b70d5,large_intestine,23326
15,1016,1111,1585,2622,3568,3451,2363,1157,388,134,29,13,3,0,0,0,0,0,0,0,2be7392c6b79793862c1f49f369b0d52,large_intestine,17440
16,2990,3195,2704,2860,3362,3571,2913,1601,649,206,79,22,2,1,0,0,0,0,0,0,ac8806109eb5cebc51a4c6f4c7872d1b,large_intestine,24155
17,1479,1998,2316,3223,3677,3159,2100,925,335,99,30,13,5,2,1,1,0,0,0,0,b179bfe63cc32d912ed1a995ab06d446,large_intestine,19363
18,4498,8045,9555,7019,3595,1211,340,74,17,5,1,0,0,0,0,0,0,0,0,0,29aa39f865ab861ebf4d5671de239d8e,large_intestine,34360
19,2442,4177,5062,4199,2261,869,227,76,17,3,1,0,0,0,0,0,0,0,0,0,76d3efd17b6fc83aaac13e961824c5ae,large_intestine,19334
20,1504,2351,3462,4685,4706,3620,2053,820,280,93,29,14,2,1,0,0,0,0,0,0,c055073b856584f5ddce4d491d7f8e46,large_intestine,23620
21,2640,8009,14842,14261,8361,3413,1042,273,49,8,6,0,0,0,0,0,0,0,0,0,99f06bad15cea33cdebbfbbbb47c55e5,large_intestine,52904
22,4261,6051,4826,2677,1176,396,101,11,5,1,0,0,0,0,0,0,0,0,0,0,eac48e19cf655a2046d56591ed190ccc,large_intestine,19505
23,7085,6419,4870,3190,1399,426,102,18,2,1,0,0,0,0,0,0,0,0,0,0,420954d18a53af4fb9d3a44bdf7e7d1b,large_intestine,23512
24,6115,9451,8591,5375,2482,936,284,69,13,5,0,0,1,0,0,0,0,0,0,0,bd72975f798d0067c6a48de0f92474d9,large_intestine,33322
25,4153,5865,5371,5828,6147,5224,3247,1369,401,114,19,6,0,0,0,0,0,0,0,0,ad1e17284c71a9629afd14badff6da62,large_intestine,37744
26,4565,7955,9540,7195,3546,1186,352,85,19,9,0,0,0,0,0,0,0,0,0,0,89c34a87cdd795017fa004b2ed0fabff,large_intestine,34452
27,2479,4096,5156,4180,2212,874,237,72,22,2,1,0,0,0,0,0,0,0,0,0,32ce4bd723563584d07fe726809253bd,large_intestine,19331
28,2882,5777,7346,5805,2984,1039,288,58,13,1,0,0,0,0,0,0,0,0,0,0,8940307f0a6d32bb455c533ef1bb9ad7,large_intestine,26193
29,1013,1423,3596,8615,12797,12301,7949,3721,1234,360,115,27,2,3,0,0,0,0,0,0,32d27420e3531ab6bbf5f714e8dd6462,large_intestine,53156
0,5097,6581,5728,3576,1590,561,144,30,2,0,1,0,0,0,0,0,0,0,0,0,8d2321ee4c215d6ecc0692284599a6dd,small_intestine,23310
1,6150,11301,10858,6729,3098,1111,333,117,27,8,1,0,0,0,0,0,0,0,0,0,e019d79dd2a2144f7772ce1fb11c2245,small_intestine,39733
2,5325,8698,9694,7087,3820,1424,403,117,33,9,1,1,0,0,0,0,0,0,0,0,62e705f60add30b663df847c18003e36,small_intestine,36612
3,4579,6110,5445,5666,5902,4890,2770,1180,415,120,29,7,2,1,0,0,0,0,0,0,f20bdb43ae78d3d70e4128bc1b36a410,small_intestine,37116
4,3587,14436,24967,22023,12516,5201,1685,448,134,36,10,2,0,0,0,0,0,0,0,0,76e46e1fe30f3a911d3cf5c1e4530351,small_intestine,85045
5,4923,10253,13255,11028,6411,2562,951,263,48,16,1,0,0,0,0,0,0,0,0,0,c8c457c36df635281dff6e49d86df1d3,small_intestine,49711
6,1461,2915,5894,11324,16971,17102,12147,6055,2262,689,202,56,14,1,0,0,0,0,0,0,4e7809adca9c32cebd023acaee306d85,small_intestine,77093
7,2655,7404,11043,8664,4276,1348,339,63,12,2,0,1,0,0,0,0,0,0,0,0,4c12735161018db54e2ef9588bf40987,small_intestine,35807
8,3482,6794,7962,6001,3167,1153,363,107,16,10,2,1,0,0,0,0,0,0,0,0,a49e5e08ad4de6ad215e3b298cc025ee,small_intestine,29058
9,2823,4514,4534,5062,6066,6154,4693,2666,1266,472,198,46,11,2,2,0,0,0,0,0,4055d3ba0aca705b8ede2700ec1e2ded,small_intestine,38509
10,3782,6198,6715,4968,2629,1004,261,58,12,2,0,0,0,0,0,0,0,0,0,0,35454f56fd4d7b3c4b80921a9c7e6b18,small_intestine,25629
11,4720,7864,9706,8181,4784,2053,731,191,56,6,6,1,0,0,0,0,0,0,0,0,9fd74bd8a46331280751fb1c187650fd,small_intestine,38299
12,3487,6743,7993,6069,3116,1161,360,102,30,3,2,0,0,0,0,0,0,0,0,0,89409b74d945fff98bb60afa9753cd0d,small_intestine,29066
13,660,1741,7221,16508,21739,18711,11370,5040,1709,482,122,32,7,2,0,0,0,0,0,0,aaaa3d9cde1cafa3723212394d5401dc,small_intestine,85344
14,6143,11310,10870,6655,3133,1152,378,103,20,11,2,1,0,0,0,0,0,0,0,0,31c38b51c975d50d7faeb829507223ff,small_intestine,39778
15,2261,3267,3590,4354,4620,3815,2343,969,300,79,15,6,1,0,0,0,0,0,0,0,ab368441a254b696f2861738b692a5b7,small_intestine,25620
16,6968,9825,9022,6366,3105,1173,359,96,20,2,0,0,0,0,0,0,0,0,0,0,c8c1e1be0530a2392325d1b6f2addeb4,small_intestine,36936
17,1094,1218,1885,3147,3789,3469,2255,1044,371,97,24,9,1,0,0,0,0,0,0,0,a4a9c03e47ebab4a0a63b64238e19c5b,small_intestine,18403
18,576,1183,3764,7005,8462,7495,4520,1938,617,187,38,13,0,1,0,0,0,0,0,0,7ae1f91c183daa18d614ccfc5345cf7f,small_intestine,35799
19,2292,6796,10712,8984,4893,1729,476,102,17,3,1,0,0,0,0,0,0,0,0,0,96b09647372281edde58c8328c0fcd50,small_intestine,36005
20,2090,3314,4740,4310,2438,976,314,103,35,3,2,0,0,0,0,0,0,0,0,0,0737895053a2653f92d205ffc4115629,small_intestine,18325
21,2447,4507,6322,8205,9326,8732,5847,2689,999,329,84,33,7,1,0,0,0,0,0,0,9fec34311ea03c4a5c221e65b1d881ba,small_intestine,49528
22,1491,3020,4557,5709,5833,4493,2464,1045,325,86,25,7,0,0,0,0,0,0,0,0,0511b3adf57a06d72d5ebe2204d076fe,small_intestine,29055
23,3325,4321,3921,3730,3378,2332,1217,497,158,46,15,2,2,0,0,0,0,0,0,0,90592f3574af0400eaf06d8aabf08645,small_intestine,22944
24,2618,4502,5881,6629,6656,5351,3214,1443,417,133,26,7,1,3,0,0,0,0,0,0,89806365526ba5b26b07a8383e5bfea7,small_intestine,36881
25,2628,7371,10838,8870,4179,1451,342,66,10,4,0,0,0,0,0,0,0,0,0,0,c72e0dfaf5099bb7cc2373c336763daf,small_intestine,35759
26,5275,8814,9522,7139,3817,1437,423,116,35,6,0,2,0,0,0,0,0,0,0,0,a40043a8f837186f5a8827e44389c8d4,small_intestine,36586
27,4067,11789,20224,19830,12522,5570,1966,559,153,45,12,1,0,1,0,1,0,0,0,0,46626ada002e4db17e3ea614a3d24972,small_intestine,76740
28,3434,7215,8026,7133,5871,4220,2455,972,308,95,32,4,2,1,0,0,0,0,0,0,4b5a93e363f3b3ebd3bd3fd69df55000,small_intestine,39768
29,6347,15931,22282,18096,9444,3345,823,196,25,4,0,0,0,0,0,0,0,0,0,0,9aef5d58ef02a4cd27d4e08c457ef4ba,small_intestine,76493
30,6248,9428,9737,6758,3183,1034,258,41,12,1,1,0,0,0,0,0,0,0,0,0,14edde4cfa211baf019c054b3f1ba1c1,small_intestine,36701
